Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-FEB-2025,48619.8,48748.4,48281.9,48651.95,95748720,5512.2
25-FEB-2025,48691.2,48862.15,48534.15,48608.35,106651228,6429.81
27-FEB-2025,48732.2,48972.55,48627.1,48743.8,186728631,9357.41
28-FEB-2025,48437.55,48574.5,48078.7,48344.7,287716653,18190.01
03-MAR-2025,48478.6,48574.7,47841.3,48114.3,151025906,6405.82
04-MAR-2025,47942.5,48374.9,47924.75,48245.2,139300167,6415.75
05-MAR-2025,48241.3,48657.65,48190.25,48489.95,127803810,6244.51
06-MAR-2025,48760,48839.1,48299.4,48627.7,137393647,8118.72
07-MAR-2025,48463.8,48709.05,48359.35,48497.5,106040439,5259.86
10-MAR-2025,48312,48599.15,48124.65,48216.8,123771352,6129.4
11-MAR-2025,47874.8,48029.05,47702.9,47853.95,222380296,12487.44
12-MAR-2025,47894.4,48222.15,47844.95,48056.65,243281505,13858.73
13-MAR-2025,48219.15,48352.45,48006.1,48060.4,145864976,7179.86
17-MAR-2025,48219.55,48481.35,48196.1,48354.15,131272921,6980.6
18-MAR-2025,48792.9,49400.3,48629.45,49314.5,146550294,8229.85
19-MAR-2025,49375.4,49807.55,49324.8,49702.6,137635415,6785.05
20-MAR-2025,49947.6,50155.3,49771.65,50062.85,115743962,5905.18
21-MAR-2025,49927.1,50672.15,49891.95,50593.55,225498916,18532.21
24-MAR-2025,50982.7,51801.15,50795.9,51704.95,180444979,8885.39
25-MAR-2025,51874.2,52063.95,51429.6,51607.95,185197665,12224.07
26-MAR-2025,51640.05,51875.8,51069.15,51209,152895952,8525.79
27-MAR-2025,51084.7,51714.35,51050.85,51575.85,415772852,15234.89
28-MAR-2025,51608.4,51839.1,51335.35,51564.85,171152969,7586.83
01-APR-2025,51178.15,51683.85,50742,50827.5,176322972,8505.05
02-APR-2025,50966.9,51404.2,50908.35,51348.05,149906457,5545.35
03-APR-2025,50910,51661.6,50906.65,51597.35,291159558,5960.55
04-APR-2025,51711.6,51893.6,51360.4,51502.7,189607641,8445.89
07-APR-2025,49336.1,50426.25,49156.95,49860.1,236789593,11587.08
08-APR-2025,50388.55,50793.7,50030.8,50511,162259279,9082.76
09-APR-2025,50487.1,50496.9,49910.85,50240.15,141787861,7324.09
11-APR-2025,50634.1,51244.7,50634.1,51002.35,139974934,8735.46
15-APR-2025,52299,52486.35,51863.3,52379.5,203761353,11819.68
16-APR-2025,52690.9,53164.45,52471.35,53117.75,200504101,10526.17
17-APR-2025,53153.75,54407.2,53084.9,54290.2,294946433,13719.04
21-APR-2025,54891.25,55461.65,54674.95,55304.5,267372839,13622.84
22-APR-2025,55414.3,55961.2,55243.55,55647.2,276879053,15645.82
23-APR-2025,56097.1,56098.7,55162.5,55370.05,245520423,11723.19
24-APR-2025,55103.9,55550.45,55088.4,55201.4,233218409,12002.95
25-APR-2025,55233.55,55350.55,54176.45,54664.05,210766304,9679.83
28-APR-2025,54610.3,55577.4,54582.35,55432.8,178630188,7103.46
29-APR-2025,55524.35,55957.75,55262.4,55391.25,193903416,8373.38
30-APR-2025,55382.4,55478.25,54723.7,55087.15,193527310,11916.11
02-MAY-2025,55100.95,55691.95,54994.4,55115.35,154187346,8648.95
05-MAY-2025,55065.8,55345.5,54786.5,54919.5,139409242,8876.74
06-MAY-2025,54918.25,55036.95,54172.95,54271.4,198690472,8440.53
07-MAY-2025,54013.4,54684.3,53919.9,54610.9,268883957,9325.72
08-MAY-2025,54801.75,54937.25,54108,54365.65,302197374,12890.73
09-MAY-2025,53595.95,54054.8,53483.05,53595.25,179290315,8109.92
12-MAY-2025,54658.75,55466.3,54558.05,55382.85,199594158,8894.5
13-MAY-2025,55233.5,55499.65,54888.5,54940.85,190035885,9256.83
14-MAY-2025,55008.55,55208.6,54491,54801.3,145169571,6288.89
15-MAY-2025,54853.7,55490.55,54442.3,55355.6,138421253,10195.93
16-MAY-2025,55276,55418.9,55170.25,55354.9,136045212,7512.92
19-MAY-2025,55326.05,55695.55,55296.55,55420.7,138063909,5421.58
20-MAY-2025,55445.3,55568.35,54829.45,54877.35,143426306,7986.79
21-MAY-2025,55060.2,55336.85,54690.8,55075.1,119459912,5560.63
22-MAY-2025,54875.9,54996.1,54576.6,54941.3,148227670,9220
23-MAY-2025,54959.3,55441.3,54854.5,55398.25,88891444,4424.62
26-MAY-2025,55534.9,55875.75,55307.5,55572,90838669,4382.84
27-MAY-2025,55458.95,55831.35,55037.85,55352.8,145380504,9236.52
28-MAY-2025,55328.6,55521.8,55235.55,55417,128321511,5986.31
29-MAY-2025,55571.4,55782.75,55096.45,55546.05,185730254,10394.38
30-MAY-2025,55615.55,55813.3,55356.6,55749.7,281056831,12623.12
02-JUN-2025,55598.25,55966.3,55400.55,55903.4,211302101,8722.91
03-JUN-2025,56104.8,56161.4,55455.8,55599.95,212808078,9937.61
04-JUN-2025,55650.35,55791,55408.35,55676.85,151488202,6067.58
05-JUN-2025,55806.75,56010.15,55580.45,55760.85,141281084,8518.57
06-JUN-2025,55699.45,56695,55534.75,56578.4,347023400,13035.84
09-JUN-2025,57049.5,57049.5,56792.7,56839.6,207484622,9138.51
10-JUN-2025,56993.9,57015.4,56564.15,56629.1,145969879,8256.92
11-JUN-2025,56639.85,56782.5,56399.4,56459.75,135259963,5477.92
12-JUN-2025,56480.9,56611.05,55968.5,56082.55,135273988,6460.33
13-JUN-2025,55149.3,55688,55149.3,55527.35,142013350,6042.45
16-JUN-2025,55554.1,55999.85,55381.45,55944.9,107684846,5492.66
17-JUN-2025,55975,56067.3,55643.95,55714.15,106308600,5617.54
18-JUN-2025,55544.95,55933.6,55511.8,55828.75,116387466,7214
19-JUN-2025,55784.85,55942.45,55475.45,55577.45,131337052,6875.2
20-JUN-2025,55566.7,56328.2,55566.4,56252.85,161498033,10192.14
23-JUN-2025,55832.35,56233.55,55779.25,56059.35,86815983,4154.17
24-JUN-2025,56529.45,56862,56276.15,56461.9,132949497,8261.84
25-JUN-2025,56564.5,56681.4,56420.65,56621.15,98673656,6054.77
26-JUN-2025,56693.55,57263.45,56558.35,57206.7,176543280,13209.6
27-JUN-2025,57234.7,57475.4,56993.85,57443.9,237982623,14041.67
30-JUN-2025,57529.95,57614.5,57193.8,57312.75,182974016,7876.79
01-JUL-2025,57375.8,57533.85,57150.35,57459.45,283276197,8734.24
02-JUL-2025,57558.2,57628.4,56833.8,56999.2,169590882,8026.46
03-JUL-2025,57050.4,57193.25,56764.1,56791.95,149891510,7232.62
04-JUL-2025,56825.25,57075.1,56623.6,57031.9,93858205,3871.5
07-JUL-2025,56938.7,57152.2,56838.55,56949.2,103275989,4714
08-JUL-2025,56942.55,57303.3,56923.05,57256.3,105496181,6733.82
09-JUL-2025,57199.75,57290.65,57037.9,57213.55,91106919,5469.02
10-JUL-2025,57339.75,57363.7,56886.6,56956,101997889,6552.97
11-JUL-2025,56843.45,57091.05,56607.75,56754.7,95543477,5114.03
14-JUL-2025,56780.75,56896.3,56594.25,56765.35,123043716,5307.24
15-JUL-2025,56709.2,57134.95,56707.8,57006.65,124577638,5808.52
16-JUL-2025,57111.25,57276.55,56937.6,57168.95,161253321,6912.99
17-JUL-2025,57231.95,57262.85,56780.15,56828.8,129763690,8491.69
18-JUL-2025,56524.25,56705.15,56204.85,56283,141249347,10339.98
21-JUL-2025,56558.9,56983.45,56255.7,56952.75,133656637,9301.52
22-JUL-2025,57253.35,57286.15,56692,56756,132755588,6922.17
23-JUL-2025,56918.15,57249,56715.8,57210.45,129781223,7142.4
